SKU_Articulo;Nombre;Medidas;Imagen;Despiece_Texto;ID_Material;Cantidad_Necesaria;Merma_Estimada
LAMPARA-NORDIC;;;;;LISTON-PINO-2X2;120;1.1
CUADRO;;;;;LISTON-PINO-2X2;40;1.1
CHSPORTRO0014;Portavelas Rústico Madera 4 velas;20x23x8 cm aprox;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORTRO0014\chsportro0014_v1.jpg;;;0;1.1
CHSPORZIG0011;Portavelas 3 velas  Madera centenaria zig zag recto;28 x 10 x 3 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORZIG0011\chsporzig0011_v1.jpg;;;0;1.1
CHSPORZIG0012;Portavelas 4 velas  Madera centenaria zig zag biselado;28x 10 x 3 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORZIG0012\chsporzig0012_v1.jpg;;;0;1.1
CHSPORALF0004;Portavelas 3 velas  Madera centenaria recto;22 x 7 x 3.5;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORALF0004\chsporalf0004_v1.jpg;;;0;1.1
CHSINCREF0029;Porta incienso de reflujo en olivo centenario;;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSINCREF0029\chsincref0029_v1.jpg;;;0;1.1
CHSPOROLI0003;Portavelas Individual Rústico de Olivo;según pieza;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPOROLI0003\chsporoli0003_v1.jpg;;;0;1.1
CHSINCCUR0028;Portaincienso de Madera Natural;30 cm x 6 cm x 3 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSINCCUR0028\chsinccur0028_v1.jpg;;;0;1.1
CHSPORALF0009;Portavelas 5 velas  Madera centenaria biselado;34 x 7 x 3.5 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORALF0009\chsporalf0009_v1.jpg;;;0;1.1
CHSPORPIE0019;Portavelas Geométrico Madera Facetada;10 cm x 10 cm x 4 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORPIE0019\chsporpie0019_v1.jpg;;;0;1.1
CHSPORZIZ0012;Portavelas 4 velas  Madera centenaria zig zag recto;28 x 10 x 3 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORZIZ0012\chsporziz0012_v1.jpg;;;0;1.1
CHSPORZIG0013;Portavelas 6 velas  Madera centenaria zig zag biselado;34 cm x 7 cm x 3 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORZIG0013\chsporzig0013_v1.jpg;;;0;1.1
CHSPORALF0007;Portavelas 3 velas  Madera centenaria biselado;22 cm x 7 cm x 3.5 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORALF0007\chsporalf0007_v1.jpg;;;0;1.1
CHSPOROLI0002;Portavelas Triple de Madera de Olivo;;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPOROLI0002\chsporoli0002_v1.jpg;;;0;1.1
CHSPORALF0008;Portavelas 4 velas  Madera centenaria biselado;28 x 7 x 3.5 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORALF0008\chsporalf0008_v1.jpg;;;0;1.1
CHSPORCUA0026;Portavelas de Madera Cuadrado 1 vela;7x7x3.5 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORCUA0026\chsporcua0026_v1.jpg;;;0;1.1
CHSPORCON0015;Portavelas Cuadrado de Madera Plywood;7 x 7 x 3 cm;C:/mis app de noxertez 2/mega gestor noxertez/imagenes/CANDLEHOLDER\CHSPORCON0015\chsporcon0015_v1.jpg;;;0;1.1
